StockCode,mean,std,CV,XYZ_Class
10002,45.858823529411765,104.71687983169025,2.2834619768326503,Z
10080,2.4,2.1908902300206643,0.9128709291752768,Y
10109,4.0,,0.0,X
10120,14.272727272727273,14.543625595240874,1.0189801372461758,Z
10123C,15.6,34.37336476297025,2.2034208181391186,Z
10123G,204.1818181818182,444.8981497335807,2.1789312765224342,Z
10124A,3.2857142857142856,2.1277858274442303,0.6475869909612875,Y
10124G,3.3333333333333335,1.632993161855452,0.4898979485566356,X
10125,14.867924528301886,12.148183998266283,0.8170732892234938,Y
10133,13.246575342465754,18.763721513955396,1.416496039833241,Z
10134,14.926829268292684,35.727013759830555,2.3934764120147918,Z
10135,18.523364485981308,68.01738759308931,3.6719780385774756,Z
10138,17.642857142857142,23.886291990489966,1.353878898246395,Z
11001,32.31578947368421,71.25131774188607,2.2048453372896337,Z
15030,7.928571428571429,3.292515655340053,0.41527224481766434,X
15034,46.28378378378378,61.68801759056599,1.3328214019567544,Z
15036,115.67469879518072,200.27690578879276,1.7313803958410374,Z
15039,30.267441860465116,58.204391267246294,1.9230033226981105,Z
15044A,49.142857142857146,367.264741673075,7.4734104410218745,Z
15044B,15.337209302325581,56.39683146400343,3.677124720170049,Z
15044C,6.804597701149425,10.481255783606752,1.5403196844151814,Z
15044D,10.054945054945055,15.6264466973729,1.5541056278261574,Z
15056BL,28.844155844155843,81.24596015670136,2.8167217163737077,Z
15056N,31.583333333333332,75.61155706906334,2.394033469205172,Z
15056P,12.850746268656716,53.32571322699975,4.149619960753756,Z
15058A,6.4523809523809526,7.2286772428020285,1.1203116022054804,Z
15058B,4.65,5.289321608384489,1.1374885179321481,Z
15058C,5.7894736842105265,7.006398213898579,1.2101960551279363,Z
15059A,505.0,,0.0,X
15060B,5.552238805970149,6.398504482433052,1.1524188180726196,Z
16008,16.733333333333334,11.87113345573242,0.7094302861991485,Y
16010,7.0,7.0710678118654755,1.0101525445522108,Z
16011,34.016129032258064,30.40733945886559,0.8939094577760391,Y
16012,38.20454545454545,40.699454053509115,1.0653039728461637,Z
16014,415.6341463414634,861.5517615354738,2.072860878056125,Z
16015,23.973684210526315,27.502812477414963,1.1472084238658273,Z
16016,25.19047619047619,44.425458585133576,1.7635815317349812,Z
16020C,3.619047619047619,3.8141341150540375,1.0539054791596683,Z
16033,345.390243902439,592.2526858549811,1.7147348435883218,Z
16043,204.4,398.3706258693725,1.9489756647229572,Z
16044,3096.0,4310.522938113194,1.392287770708396,Z
16045,100.0,0.0,0.0,X
16046,318.9032258064516,1145.5378461619014,3.59211746217064,Z
16047,504.14285714285717,1555.930791703612,3.086289470650406,Z
16048,98.85,189.99675204980133,1.922071340918577,Z
16049,138.94736842105263,169.4374593517589,1.2194362604861435,Z
16050,30.5,23.9513395589196,0.7852898216039212,Y
16051,312.6666666666667,479.2007234273894,1.5326249150129723,Z
16052,22.866666666666667,6.243472782110319,0.27303816831386235,X
16053,537.25,902.8291643494908,1.680463777290816,Z
16054,9.75,17.5,1.794871794871795,Z
16119,45.166666666666664,61.60005411253035,1.3638388364397864,Z
16151A,1.5,0.7071067811865476,0.47140452079103173,X
16156L,27.941176470588236,8.302639551938395,0.29714709975358466,X
16156N,30.851063829787233,11.901733018500424,0.3857803116341517,X
16156S,67.19753086419753,86.54111430941475,1.2878615210476934,Z
16161C,225.0,176.7766952966369,0.7856742013183862,Y
16161E,107.14285714285714,185.24436884957174,1.728947442596003,Z
16161G,25.0,0.0,0.0,X
16161M,28.37837837837838,10.478420553561367,0.36923958141121005,X
16161P,48.959349593495936,45.136477628280396,0.9219174274789917,Y
16161U,43.30434782608695,60.33297009288121,1.3932312370846065,Z
16162L,806.6,1550.655216352107,1.9224587358692125,Z
16162M,12.0,0.0,0.0,X
16168M,38.57575757575758,62.53600478076125,1.6211218835546908,Z
16168S,212.33333333333334,259.3666645246969,1.2215070542764375,Z
16169A,25.0,,0.0,X
16169C,42.1875,27.995895436480016,0.6636064103461929,Y
16169D,50.0,25.0,0.5,X
16169F,37.5,17.67766952966369,0.4714045207910317,X
16169G,25.0,,0.0,X
16169K,41.666666666666664,74.81036632105814,1.7954487917053954,Z
16169M,48.275862068965516,87.60988877311418,1.8147762674430794,Z
16169N,41.326530612244895,78.48683216393212,1.899187543719839,Z
16169P,38.63636363636363,71.620476125357,1.853706440891593,Z
16201A,16.666666666666668,11.587349423689037,0.6952409654213422,Y
16201B,24.0,,0.0,X
16202A,38.411764705882355,98.54507777124728,2.565492070614401,Z
16202B,62.8125,149.05042491273437,2.3729420881629353,Z
16202C,9.4,8.382521498133285,0.8917576061843919,Y
16202E,6.6,5.699902533279748,0.863621595951477,Y
16206B,6.846153846153846,6.65640235470275,0.9722834900127613,Y
16207A,3.230769230769231,1.640825308284734,0.50787450018337,Y
16207B,23.0,40.88703951131703,1.777697370057262,Z
16212,12.75,13.478721227398609,1.057154606070479,Z
16215,8.0,,0.0,X
16216,25.59375,29.214290995796848,1.1414619192496938,Z
16218,45.0,35.96352318669571,0.7991894041487936,Y
16219,17.11764705882353,9.095894355017931,0.5313752715989857,Y
16225,19.41176470588235,49.67660119092643,2.5590976371083314,Z
16235,38.61538461538461,34.98602055986626,0.9060124846180506,Y
16236,17.92063492063492,16.125817395938352,0.899846320588234,Y
16237,45.248,51.031087299485804,1.1278086832453547,Z
16238,19.433962264150942,15.039063792928713,0.7738547388594387,Y
16239,30.727272727272727,86.90349924955946,2.8282203897785623,Z
16243B,205.0,,0.0,X
16244A,23.666666666666668,36.13124225191637,1.5266722078274522,Z
16244B,50.333333333333336,98.10946267647513,1.9491946227114263,Z
16245A,1.8333333333333333,1.3291601358251257,0.7249964377227959,Y
16248B,17.0,21.02379604162864,1.2366938848016846,Z
16254,97.88888888888889,287.2927272158331,2.934885976098182,Z
16256B,24.65,16.52836477408649,0.6705218975288637,Y
