StockCode,Revenue,RevenuePct,CumulativePct,ABC_Class
85123A,151339.16,0.017201084263441684,0.017201084263441684,A
22423,143727.6,0.016335960623689475,0.03353704488713116,A
M,98531.99,0.011199064819935524,0.044736109707066686,A
85099B,85257.45,0.009690291538133066,0.05442640124519975,A
84879,70291.03,0.007989220569177913,0.06241562181437766,A
POST,48741.08,0.005539871003454442,0.0679554928178321,A
21843,41457.64,0.004712041212620914,0.07266753403045301,A
48138,41223.56,0.004685435872638939,0.07735296990309194,A
84347,40156.05,0.004564103565375792,0.08191707346846773,A
22086,36871.55,0.004190790000907256,0.08610786346937499,A
20685,36417.04,0.004139130768699433,0.09024699423807442,A
47566,35017.3,0.003980037473303119,0.09422703171137754,A
15056N,34044.75,0.0038694982414188522,0.0980965299527964,A
85099F,33926.25,0.0038560296290305065,0.1019525595818269,A
21621,33750.96,0.003836106312021619,0.10578866589384853,A
20914,33632.700000000004,0.0038226649778355794,0.1096113308716841,A
20725,31821.4,0.0036167941118523668,0.11322812498353647,A
15056BL,31183.850000000002,0.0035443307040195415,0.11677245568755601,A
22386,31122.3,0.00353733498171994,0.12030979066927595,A
22189,29888.02,0.0033970477336297514,0.12370683840290571,A
21232,29694.86,0.0033750933271408665,0.1270819317300466,A
85099C,29349.0,0.0033357831644351007,0.1304177148944817,A
21623,28746.54,0.0032673080570976933,0.13368502295157939,A
21137,28129.89,0.0031972201260489722,0.13688224307762836,A
21754,28028.3,0.003185673490331402,0.14006791656795978,A
21212,27637.059999999998,0.0031412054742063693,0.14320912204216615,A
21733,27300.61,0.0031029648443493324,0.14631208688651548,A
22139,27232.670000000002,0.0030952428399133474,0.14940732972642884,A
21931,26443.4,0.0030055350618563887,0.15241286478828522,A
79321,26262.68,0.002984994575520339,0.15539785936380557,A
82484,26035.079999999998,0.0029591257470006132,0.15835698511080618,A
48194,25574.7,0.002906799335428068,0.16126378444623424,A
22411,25542.15,0.0029030997292403835,0.16416688417547462,A
21929,25422.7,0.0028895231406345784,0.1670564073161092,A
71477,24965.75,0.002837586580036649,0.16989399389614587,A
21181,24511.280000000002,0.0027859318941958772,0.17267992579034175,A
21928,24214.9,0.002752245587532097,0.17543217137787384,A
22111,24062.7,0.0027349466609033527,0.1781671180387772,A
22083,23866.9,0.002712692194189107,0.1808798102329663,A
22112,23852.4,0.002711044136133149,0.18359085436909944,A
37503,23784.8,0.002703360775817097,0.18629421514491654,A
22470,23551.18,0.002676807719056208,0.18897102286397274,A
84078A,23252.500000000004,0.002642859996287001,0.19161388286025974,A
82494L,23157.250000000004,0.0026320339597470017,0.19424591682000675,A
22090,23137.7,0.002629811922850865,0.1968757287428576,A
21731,23050.65,0.002619917891556304,0.1994956466344139,A
21523,22511.72,0.0025586635516875174,0.20205431018610143,A
20727,22500.6,0.0025573996616473616,0.2046117098477488,A
22197,21862.51,0.0024848748778593488,0.20709658472560813,A
48187,21742.69,0.002471256235358323,0.20956784096096645,A
84029E,21692.260000000002,0.002465524403098878,0.21203336536406533,A
22910,21550.100000000002,0.0024493666145999136,0.21448273197866524,A
21524,21508.22,0.0024446065682976023,0.21692733854696283,A
22114,20727.800000000003,0.002355904673950659,0.2192832432209135,A
21755,20640.850000000002,0.002346022008573725,0.22162926522948723,A
22328,20544.75,0.0023350993617338935,0.22396436459122113,A
22138,20117.81,0.002286573713015916,0.22625093830423704,A
22188,20117.64,0.002286554390955949,0.228537492695193,A
20679,20066.95,0.002280793007310673,0.23081828570250368,A
21527,20057.49,0.002279717791503131,0.2330980034940068,A
82486,19908.5,0.0022627837108302224,0.23536078720483702,A
22383,19869.4,0.00225833963703795,0.23761912684187497,A
20728,19767.8,0.002246791864728617,0.2398659187066036,A
84997D,19606.62,0.0022284722786969414,0.24209439098530053,A
21485,19476.55,0.0022136886296391174,0.24430807961493964,A
85014B,19202.0,0.002182483502793376,0.246490563117733,A
22326,18873.25,0.002145118048593641,0.24863568116632664,A
20726,18769.6,0.0021333372749729484,0.2507690184412996,A
72741,18658.65,0.002120726789365464,0.2528897452306651,A
48185,18475.74,0.0020999373894333767,0.25498968262009847,A
84946,18420.36,0.00209364294425138,0.2570833255643499,A
84997B,18075.57,0.002054454396864226,0.2591377799612141,A
21915,18054.47,0.0020520561882448668,0.261189836149459,A
84997C,17683.68,0.002009912502274616,0.2631997486517336,A
82482,17583.600000000002,0.0019985374919132184,0.2651982861436468,A
22178,17480.65,0.001986836279715917,0.26718512242336273,A
84991,17436.3,0.001981795495248211,0.2691669179186109,A
79323W,17384.8,0.0019759420476701535,0.27114285996628107,A
47590B,17073.100000000002,0.0019405144824258722,0.27308337444870695,A
21166,17023.41,0.0019348667579568686,0.2750182412066638,A
48111,16977.920000000002,0.0019296964020282118,0.276947937608692,A
21622,16883.72,0.001918989707623299,0.2788669273163153,A
22457,16866.95,0.0019170836432372013,0.2807840109595525,A
22469,16765.91,0.0019055995200665814,0.2826896104796191,A
